CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope,target
0.44069514,-0.86765707,-0.46714458,-1.1285783,-0.051994223,0.91287583,0.025411464,-0.35670868,-0.9726528,1
0.81191105,-0.21919903,-0.04083131,-0.5143953,-0.52889985,-1.0483148,0.14591095,-0.9961925,-0.22160895,3
-0.6640045,0.21450593,0.23827167,-0.2945236,0.0432333,1.3465824,-1.1795834,-0.6104333,0.6546083,3
1.4135488,-0.12267862,-0.18166679,1.797867,-0.5623062,-1.0420694,1.1099068,-1.0964352,0.02873897,5
-1.5300741,1.6919233,-0.5826211,-0.7394153,2.8670363,1.4556104,-1.5410819,0.32224885,0.21649991,3
-0.63267285,1.0017179,0.50567216,-0.8879512,-0.75660115,1.0815406,-0.65741885,-0.0814598,0.2790869,1
-0.033613604,-0.15056503,1.6525987,-0.63771766,-1.1893487,0.15236697,0.9492408,-1.0829731,0.6546083,3
-0.641164,0.13784921,1.9034739,-0.08108733,-0.8625801,0.48625925,0.14591095,0.43344343,0.34167388,3
0.1636283,-0.698201,0.46594864,1.2060505,-0.41216934,-0.5744229,2.7968996,-0.6415404,0.34167388,5
-1.5356786,-0.273987,-1.4477175,1.5646175,1.0984156,0.042438123,0.86890787,1.3595086,0.02873897,5
0.19035901,0.036737252,-0.118277095,-1.1789924,-0.111895494,0.30733755,-0.9385844,0.18732429,-1.1604133,1
0.78444,-0.09088348,-0.09485723,-0.8129587,-0.4206169,-0.95018417,0.6279089,-1.1305846,-0.15902244,3
-0.19151445,0.81535697,0.5552748,0.20370163,-0.4517195,0.71923447,-0.9385844,-1.3192049,0.4042604,5
1.8590745,-0.18586862,0.42301717,0.8106736,-0.6391027,-0.9411329,0.6279089,-1.6298202,0.02873897,5
-1.3732166,1.7662941,-0.82557774,-0.51999116,1.6110314,1.2787285,-1.3804158,-0.41527218,0.9675432,5
1.0156069,0.6705328,-0.012336142,-1.1761156,-0.3714673,0.8649704,-0.8180849,0.8637718,-0.47195688,1
1.0289775,-0.8622649,0.84007597,0.0007881015,-0.7304903,-1.1375968,0.96932393,-0.6153772,0.59202135,3
-0.19978204,-0.1852717,0.36062503,0.6674991,-0.5212202,-0.1493117,-0.69758546,0.0881467,0.6546083,3
1.7713149,-1.328822,0.14423747,0.69074357,-0.60108846,-1.2833647,0.9894073,-1.0859394,0.4042604,5
-1.3227412,1.8285217,-0.4245822,-0.2994205,1.2136102,1.294075,-0.69758546,1.6724057,0.71719533,3
-0.3080918,-1.4552054,-1.0620137,-1.1919528,0.092766896,-0.6896112,-0.33608702,0.12663125,-3.2883697,1
-0.08989735,-0.8847658,-1.0885874,-0.7913083,-0.12495089,-1.045819,0.6279089,-0.40614516,-3.0380216,3
-0.7551378,-0.14057201,-0.49383682,-0.49174753,-0.028571418,1.231482,-1.7820809,-0.30567473,-0.15902244,3
0.5376763,-0.92428255,-0.9787572,0.6144342,-0.07272923,-1.323468,1.5919048,-0.8323666,-1.1604133,5
-1.5897366,1.8930484,-0.49627745,-0.86831236,2.1620457,1.5114115,-1.7820809,3.379724,-0.5345434,5
1.2052469,1.4038882,0.18168887,-1.1057516,-0.51622844,1.2966782,-0.45658648,1.3989061,0.15391293,1
1.2767495,-0.9011717,1.5262593,0.660028,-0.92056143,-0.6228022,0.22624387,-0.7492367,0.9675432,3
0.12003912,0.40849742,1.2153435,1.1448071,-0.83954126,0.71992046,-0.45658648,-0.08526269,1.405652,3
2.3010876,-1.6703975,-0.08434446,1.8032415,-0.32922924,-1.208369,2.6964831,-0.33662942,-1.0978267,5
-1.583024,0.65296215,-2.8620503,0.23052612,2.9227135,0.9486342,-1.0590839,1.1592518,-0.59713084,5
0.08659574,-1.540153,-1.1349177,-1.1592214,0.20104973,-0.7086074,-0.17542093,0.10746491,-2.2243915,1
0.62954,-0.6181757,-0.10730862,-0.3380803,-0.4106334,-0.8767165,-0.09508802,0.15249048,-0.59713084,3
0.12130117,-0.5891047,-0.525163,-0.6581237,0.17993084,-0.65735537,-0.17542093,0.22504836,-1.9740435,3
0.8294748,-0.8660744,-0.5652083,1.8067745,-0.3791469,-0.8901368,1.1902397,0.2852093,-0.28419548,5
-1.6284169,1.8755628,-1.9045019,-0.92921066,3.5128937,1.4950882,-1.4205824,2.0745928,0.4042604,5
-0.64935726,1.8536439,0.7377992,-0.9629905,-0.6429424,1.4126995,-0.2155875,0.21470472,0.122619204,1
-0.43997207,-0.23600717,0.9351304,-0.61233807,-0.8080547,0.039610907,-0.09508802,-0.81631863,0.9049562,3
-0.83005375,0.79561937,1.9159863,0.9090043,-0.908274,1.0406847,-0.2155875,-0.1333304,0.9049562,3
