CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope,target
1.172975,-1.3344179,-0.31218103,-0.97813034,-0.2570484,0.3938043,0.8864407,-0.69287825,-1.0550374,1
-0.184031,-0.24312004,0.31720608,-0.10873258,-0.17457464,0.92446053,-0.87055814,-0.9366352,0.58304656,3
-1.2479051,1.2467686,-0.4152116,-0.5724765,2.2710385,1.0578604,-1.3976579,-0.040593877,0.14202434,3
-0.14554334,0.5507371,0.5557864,-0.7273066,-0.8672878,0.60017186,-0.1091919,-0.42844263,0.20502758,1
-0.15597385,-0.32042384,1.8029342,0.11374801,-0.9590731,-0.12817708,1.0621406,0.06623237,0.26803085,3
-1.2547897,-0.7357365,-1.1870687,1.8291893,0.73928773,-0.6712088,2.11634,0.95591664,-0.04698539,5
0.8654636,-0.42238933,-0.0009141615,-1.0306807,-0.30892715,-0.34709442,-0.5191584,-0.17021787,-1.2440466,1
0.39637274,0.36280298,0.6000429,0.41060483,-0.60323876,0.15687685,-0.5191584,-1.6175624,0.33103362,5
-1.0552225,1.3217672,-0.63198256,-0.3437543,1.1832492,0.8414388,-1.1633912,-0.7491411,0.8980628,5
1.8791928,0.21675628,0.093608566,-1.027682,-0.5337347,0.33519024,-0.34345853,0.47965506,-0.5510114,1
0.38621688,-0.64627224,0.42637232,0.89405566,-0.6634313,-0.90582186,-0.16775864,-0.2654992,0.58304656,3
-0.99321866,1.3845202,-0.27420598,-0.11383701,0.8390544,0.8602158,-0.16775864,1.2565213,0.6460498,3
0.25316986,-1.926926,-0.8429357,-1.0441903,-0.13167505,-1.5668985,0.359341,-0.22852655,-3.3861558,1
-0.2959785,-0.60119534,-0.3359964,-0.31431386,-0.2367626,0.7836309,-1.7490577,-0.64384925,-0.23599559,3
-1.3211942,1.4495915,-0.338174,-0.7068355,1.6604666,1.1261351,-1.7490577,2.8967671,-0.61401415,5
2.1121454,0.95630205,0.26672173,-0.9543362,-0.65910804,0.8634009,0.18364112,0.99376637,0.079021096,1
0.77908313,-0.047490995,1.1889699,1.3915895,-0.9391198,0.1577162,0.18364112,-0.43209612,1.3390855,3
-1.3129485,0.19903733,-2.448966,0.438566,2.3192587,0.43755603,-0.6948583,0.763527,-0.67701787,5
0.73800147,-2.0125904,-0.9079822,-1.0100719,-0.037894472,-1.590141,0.59360766,-0.24693993,-2.3151011,1
0.78063345,-1.0535142,-0.3639463,-0.4877402,-0.05618493,-1.5274323,0.59360766,-0.13397579,-2.0630882,3
-1.3687087,1.4319583,-1.5946213,-0.77031446,2.8303964,1.1061629,-1.2219579,1.6429085,0.33103362,5
-0.16603841,1.4098543,0.762895,-0.8055258,-0.76885134,1.0053573,0.5350409,-0.14391308,0.047519244,1
-0.3880048,0.34289876,1.8140981,1.1457945,-0.9986472,0.5501832,0.5350409,-0.47827548,0.8350596,3
-1.3898872,-0.5388156,-1.0156183,1.2988831,1.1579751,-0.4598104,0.5350409,1.4529299,-0.61401415,5
0.7935297,-1.4297831,-0.29386204,-1.0139102,-0.1416518,0.6362178,0.7107408,0.270094,-0.9920336,1
0.62736,-1.1109803,0.49974936,-0.079518676,-0.26137173,0.45096543,0.82787395,-0.28888136,0.26803085,3
-1.356203,0.38098845,-1.0666932,-0.48981935,0.8357288,1.1274562,-1.514791,-0.56544626,1.213079,5
-0.098156884,0.53503597,0.28329697,-0.75749785,-0.85066,0.67325866,-0.2263254,-0.37685597,0.39403686,1
