CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope,target
-0.18940385,-0.53939223,-0.7444777,-0.91973096,0.6112951,1.5821686,-0.5003058,-0.1523555,-0.64070964,1
0.32368463,0.2286854,-0.14804585,-0.32725352,-0.38802394,-0.6915194,-0.36040983,-0.93368155,0.073094256,3
1.1552583,0.3430107,-0.34508115,1.9032921,-0.45802453,-0.684279,0.7587576,-1.0561587,0.3110289,3
-1.6729952,1.6748222,0.6165375,-0.68760777,-0.86515456,1.7777084,-1.2930493,0.18394557,0.54896355,1
-0.8449855,0.30998015,2.2211406,-0.44621763,-1.7719439,0.70047975,0.5722296,-1.0397108,0.9058651,3
-0.572361,-0.338677,0.56096256,1.3323908,-0.14342417,-0.14211732,2.7173007,-0.500365,0.6084472,3
-0.5354143,0.53183365,-0.25639606,-0.9683634,0.48577657,0.88014346,-1.6194732,0.5123479,-0.8191602,1
0.28571454,0.38067102,-0.22363059,-0.61526555,-0.16112542,-0.5777526,0.19917388,-1.0978827,0.13257748,3
1.7710565,0.2681642,0.5008995,0.9509867,-0.61894554,-0.5672591,0.19917388,-1.7078522,0.3110289,3
0.6052297,1.2825441,-0.1081798,-0.96558833,-0.05813618,1.5266299,-1.4795773,1.3388362,-0.16484037,1
0.6237102,-0.53300536,1.0843838,0.16972302,-0.8104414,-0.79502773,0.59554553,-0.46839857,0.84638137,3
1.6497566,-1.0856272,0.11087386,0.835295,-0.53928965,-0.96402234,0.6188617,-1.0433348,0.6679304,3
-1.2243648,-1.2353245,-1.5767269,-0.98086584,0.9146309,-0.2756598,-0.9199936,0.4381927,-2.8416038,1
-0.92278,-0.55965704,-1.6139047,-0.59438026,0.45841998,-0.68862605,0.19917388,-0.21275738,-2.6036692,3
-0.055358097,-0.6064633,-1.4602472,0.76168245,0.5678465,-1.0105157,1.3183414,-0.7335178,-0.8191602,5
0.86734694,2.1511798,0.1632701,-0.8977109,-0.36147198,2.0271263,-1.0598894,1.9926673,0.42999622,1
0.9661766,-0.5790892,2.044386,0.80566496,-1.2087207,-0.19820541,-0.26714596,-0.63194907,1.2032833,3
2.3819997,-1.4902126,-0.20892274,1.9084766,0.03037044,-0.87707675,2.6007204,-0.12782255,-0.759677,3
