,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,0.09032199933766631,0.8975632433937585,0.010260185472514182,2.5359730237201803e-14,5.996122039050886e-05,0.22957546811474835,0.06814167518050625,0.4115644953913046,0.07407364013414272
throat,0.6600185322274954,0.02142137342009665,0.2007790398232691,9.268732373519145e-22,0.06139519463336941,7.605248844472531e-05,3.4749584576349577e-06,0.11395167542527351,0.16751760720655076
position,0.09032199933766631,0.8975632433937585,0.010260185472514182,2.5359730237201803e-14,5.996122039050886e-05,0.22957546811474835,0.06814167518050625,0.4115644953913046,0.07407364013414272
open,0.362415557083288,0.37591927641071166,0.025820536499813956,3.621808988393481e-16,0.0010613978602044105,0.024982266404973526,0.00475202675866789,0.38118490176196507,0.2093596858077142
clean,0.00021269558470095063,0.10180477645335965,0.022880930800102235,3.7204670171631854e-09,9.514927483608662e-06,0.7842102009815748,0.9218581077301806,0.9993493758852692,0.010589328009309097
resonate,5.0988570227867116e-05,0.13112191588925212,0.041872096492424224,1.4135944572929182e-09,1.7792577415643214e-05,0.6651689408542018,0.9427577357175501,0.8082338728297639,0.0034786654183017103
unify,0.2926399401594836,0.4812220684175107,0.01981480050833206,1.3212629935863929e-16,0.0008139293260012654,0.04384948594752653,0.0071479034985610385,0.21381257199976336,0.07080969443108914
falsetto,0.23442705639049183,0.690288538186141,0.017455653893085267,6.800486544109018e-16,0.0005740834342316471,0.06340366798887,0.015135754068509526,0.2628736704770744,0.11438772824133618
chest,0.09032199933766631,0.8975632433937585,0.010260185472514182,2.5359730237201803e-14,5.996122039050886e-05,0.22957546811474835,0.06814167518050625,0.4115644953913046,0.07407364013414272
nasal,0.001258819917879389,0.33850294976486095,0.01045012855562302,1.87739524935377e-11,6.918083896856832e-06,0.748653939926376,0.46285699751252696,0.7626920814369798,0.020061021275845668
