,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,0.0,0.30644699931144714,0.0,0.7580569982528687,0.8313016295433044,-0.183114692568779,0.2127409279346466,-0.3068377673625946,0.15994924306869507
throat,0.0,0.0,-0.06493647396564484,0.7728472352027893,0.4117691218852997,-0.21521645784378052,0.1891453117132187,-0.07696015387773514,0.13426506519317627
position,0.0,0.30644699931144714,0.0,0.7580569982528687,0.8313016295433044,-0.183114692568779,0.2127409279346466,-0.3068377673625946,0.15994924306869507
open,0.0,0.0,0.0,0.7703933715820312,0.651962161064148,-0.1139262467622757,0.13086660206317902,-0.08978202193975449,0.1106245294213295
clean,-0.1691877543926239,0.30352139472961426,0.0,0.4959513247013092,0.7642622590065002,-0.20962461829185486,0.1406283974647522,-0.27181476354599,0.2284352332353592
resonate,-0.22747193276882172,0.20626673102378845,0.0676545649766922,0.5626440644264221,0.7671747207641602,-0.1669807881116867,0.09937822818756104,-0.23632237315177917,0.21879343688488007
unify,0.0,0.24600954353809357,-0.24712899327278137,0.7534937262535095,0.5765995383262634,-0.19640755653381348,0.23511721193790436,-0.3219156861305237,0.27421998977661133
falsetto,0.0,0.28738653659820557,-0.10587992519140244,0.7795734405517578,0.6662098169326782,-0.2322002351284027,0.1932893842458725,-0.27156251668930054,0.1691264808177948
chest,0.0,0.30644699931144714,0.0,0.7580569982528687,0.8313016295433044,-0.183114692568779,0.2127409279346466,-0.3068377673625946,0.15994924306869507
nasal,-0.054186008870601654,0.08148887008428574,0.0,0.6773114800453186,0.6849642395973206,-0.10122407972812653,0.0,-0.07530980557203293,0.17099495232105255
