,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,,0.6581632774995726,,1.5030093289267896,2.098319728870136,,,-0.5316214958732136,0.6404406679796683
throat,,,,1.5316092093550153,0.804969823066257,,0.6145683949476204,,
position,,0.6581632774995726,,1.5030093289267896,2.098319728870136,,,-0.5316214958732136,0.6404406679796683
open,,,,1.4551267521861637,1.623667312282862,,,,
clean,,0.6684914006959523,,0.6682906119125877,1.8750069417635695,,,-0.5442013576081911,
resonate,,,,0.8429080371443173,1.82400956656522,,,-0.4701259300938959,
unify,,,-1.0396214479493078,1.4859697549507944,0.8197867905315245,,,-0.47789276273565245,0.7298052154771393
falsetto,,0.5706275771154308,-0.7643214402221822,1.4886613341591868,1.0579508527402834,,,-0.39875055082288574,0.5488733786853769
chest,,0.6581632774995726,,1.5030093289267896,2.098319728870136,,,-0.5316214958732136,0.6404406679796683
nasal,,0.5765256070191944,,1.1641411376967912,2.07172470175429,-0.6607736241528871,,-0.410148396781077,
