,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,,1.9312419193495123,,4.495196260493845,8.152460054387044,,,0.5876513225254781,1.8973167818667338
throat,,,,4.625614418364919,2.236629003196349,,1.8488584506797248,,
position,,1.9312419193495123,,4.495196260493845,8.152460054387044,,,0.5876513225254781,1.8973167818667338
open,,,,4.2850265676669235,5.071655598283743,,,,
clean,,1.951291382253096,,1.9508996241620948,6.520864386471839,,,0.5803050545379485,
resonate,,,,2.323112861877675,6.196654604866597,,,0.6249235666439272,
unify,,,0.35358850828197885,4.419248923987613,2.27001579707171,,,0.6200886900314357,2.074676453450831
falsetto,,1.7693771236607145,0.46564979501732406,4.431159704722285,2.8804624458700308,,,0.6711581003096477,1.731301397648728
chest,,1.9312419193495123,,4.495196260493845,8.152460054387044,,,0.5876513225254781,1.8973167818667338
nasal,,1.7798437988870501,,3.2031706189686195,7.938502867536444,0.5164516404423043,,0.6635517738823985,
