,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,,0.026049532752058416,,4.4187482101500206e-07,8.818787429828851e-05,,,0.008481754983243776,0.019151549448378824
throat,,,,6.924803030476567e-08,0.033520313830118366,,0.048484817152808356,,
position,,0.026049532752058416,,4.4187482101500206e-07,8.818787429828851e-05,,,0.008481754983243776,0.019151549448378824
open,,,,2.3597919518064454e-07,0.0003994915434289345,,,,
clean,,0.009641808871179007,,0.0004628266728020982,1.537382036912468e-05,,,0.0025543448818830033,
resonate,,,,7.606794447114695e-05,3.506029913307789e-05,,,0.009930326324448086,
unify,,,0.007867371051233864,2.1721240041858248e-07,0.02318488982487215,,,0.012195624486021987,0.0038430902438105325
falsetto,,0.04107065730979529,0.03697773917408381,2.1092704543572627e-07,0.0036657189526012007,,,0.027437144845646612,0.02171522940212691
chest,,0.026049532752058416,,4.4187482101500206e-07,8.818787429828851e-05,,,0.008481754983243776,0.019151549448378824
nasal,,0.03881985223693227,,4.811440101195951e-06,7.52378991065643e-05,0.020111602249296374,,0.029575542377549446,
